CID,SMILES,solubility_mean,solubility
4567086,CC1=C(NC(=C1C(=O)C)C)C(=O)CSC2=CC=C(C=C2)F,2.5,low
2261752,COC(=O)C1=CC(=CC(=C1)C(=O)NC2=NC=C(C=C2)Cl)[N+](=O)[O-],2.5,low
135455173,COC1=CC=C(C=C1)N=C2NC(=O)/C(=C\C3=CC=CO3)/S2,2.6,low
7095467,CC1=CC=CC=C1C(=O)NC2=NN=C(S2)SC(C)C,2.6,low
9587353,CC1=C(C=C(C=C1)C(=O)O/N=C(/C2=CC=CC=N2)\N)C,2.6,low
9623595,C1=CC(=CC(=C1)C(F)(F)F)/C=N/NC2=CC=C(C=C2)C(=O)O,2.7,low
3301879,CC1=NC(=CS1)C2=CC=C(C=C2)N3C(=CN=N3)C4=CC=CO4,2.7,low
6463281,C1=CC=C(C=C1)C2=C3C(=NC=C2)NN(C3=O)C4=CC=CC=C4,2.8,low
3456129,CC1=NC2=C(S1)C=CC3=C2SC(=N3)NC(=O)C4CC4,2.8,low
135472660,COC1=CC(=CC(=C1O)[N+](=O)[O-])/C=N/NC(=O)C2=CC(=CN=C2)Br,2.8,low
2985208,CC1=CC(=NO1)NC(=O)NC(=O)C2=CC=CC=C2,2.8,low
53312,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CC(=CC=C4)[N+](=O)[O-],2.8,low
2860190,C1=CC=C(C=C1)C2=NNC(S2)C3=CC=CC=C3O,2.8,low
5769294,CN1C=CC=C1/C=C(/C#N)\C2=CC=C(C=C2)F,2.9,low
4851026,C1=CC(=CC(=C1)Cl)S(=O)(=O)NNC2=C(C=C(C=C2)F)F,2.9,low
4794068,CC1=C(C2=C(C=C1)C(=CC(=O)O2)CN(C)CC3=CC(=CC=C3)F)C,2.9,low
6866637,C1=CC(=CN=C1)C(=O)N/N=C/C2=CC=CN2C3=CC=C(C=C3)[N+](=O)[O-],20.2,moderate
2092383,C1=CC=C(C(=C1)OCCN2C(=O)C3=C(C2=O)C(=CC=C3)N)F,20.3,moderate
3155251,CC1=NN=NN1C2=CC=C(C=C2)CC(=O)O,20.3,moderate
6470536,C1CCC(CC1)CNC(=O)C2=C(C=C(C=C2)F)Cl,20.4,moderate
828748,CCS(=O)(=O)N1C(=NC(=N1)C2=CC=CO2)N,20.5,moderate
16508141,C1CS(=O)(=O)CC1NC(=O)CN2N=C(N=N2)C3=CC=CC=C3,20.8,moderate
728324,C1CCCN(CC1)C2=C(C(=O)NN=C2)Cl,20.8,moderate
6457966,C1OC2=C(O1)C=C(C=C2)OCC(=O)NC3=NC=CS3,20.9,moderate
1906043,CN1C(=O)/C(=C/C=C/C2=CC=CO2)/C(=O)NC1=S,21.1,moderate
712463,C1=CC(=CC(=C1)Cl)NC(=O)C2=CC3=C(C=C2)N=CS3,21.2,moderate
2802388,CC1=C(C2=CC=CC=C2N1)CC#N,21.3,moderate
2238406,CC(C)(C)C(=O)NC(=S)NNC(=O)C1=C(C=C(C=C1)Cl)Cl,21.3,moderate
135520059,CC1=C(C2=CC=CC=C2N1)/C=N/NC3=CC=CC=N3,21.5,moderate
4072045,CC(C)C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C,22,moderate
24685988,CC1=C(C=C(C=C1)C(=O)C(C)OC(=O)CC2=NNC(=O)C3=CC=CC=C32)C,22.1,moderate
6886586,CCCN1C(=C(C=N1)/C=N/O)C,22.3,moderate
16681927,CCCCSC1=NC(=CC(=O)N1CC=C)[O-].[NH4+],22.4,moderate
540144,CC1=C(N=NN1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)C,22.5,moderate
4883585,CC1CC1C(=O)OCC(=O)NC(=O)NC23CC4CC(C2)CC(C4)C3,22.5,moderate
737669,CC1=CC=C(C=C1)S(=O)(=O)NCCC2=CCCCC2,23,moderate
5959012,C1COCCN1C2=CC=C(C=C2)C(=O)/C=C/C3=CC(=CC=C3)O,23.2,moderate
2522158,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3=C(C=CS3)C#N,23.5,moderate
7784936,C1=CC=C(C=C1)C(=O)NNC(=O)CSC2=NC=NN2,23.6,moderate
20953956,CC(C)NC(=O)C1=C2CCC3=CC=CC=C3C2=NN1,23.7,moderate
3298532,CCN1C2=NC3=C(C=CC=C3C=C2C(=N1)NC(=O)C4CCCO4)C,23.7,moderate
24246373,C1COCCN1CCNC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=C(C=C4)F,23.8,moderate
2738783,C1CN2CCC1C(=O)C23CC3C4=CC=C(C=C4)C(F)(F)F,23.9,moderate
6906602,COC1=CC=CC=C1/C=C/C=N/NC2=CC=CC(=C2)C(=O)O,23.9,moderate
3377097,CN1C=CN=C1SC2=CC=CC=C2[N+](=O)[O-],24.1,moderate
808821,C1=C(C=C(C=C1Cl)Cl)C(=O)NN2C=NN=C2,24.3,moderate
9586681,CC1=NC(=NO1)/C(=N/OC(=O)CC2=CC=CC=C2)/N,24.4,moderate
